ID,Cohort,Program,College,major_2,concentration_1,hrs_enrolled,gender,state,ipeds_ethnicity,resid_commuter_sts,sport_1,sport_1_b,sport_2,sport_2_b,first_gen,hs_gpa,pell_eligible,ret_label,ret_label_b
187,87,57,3,0,0,15,0,11,6,2,8,1,5,0,0,3.92,1,0,0
188,87,29,1,0,0,15,0,11,6,2,7,1,5,0,0,3.57,0,3,1
189,87,32,2,0,0,16,0,11,6,2,10,1,5,0,0,3.16,0,3,1
190,87,31,2,0,0,16,0,11,2,2,5,1,2,1,1,3.88,1,3,1
191,87,8,3,0,0,15,0,11,6,2,10,1,5,0,1,3.8,0,3,1
192,87,59,0,0,0,13,1,11,6,2,25,0,5,0,0,2.3,1,0,0
193,87,59,0,0,0,15,0,11,2,2,8,1,5,0,0,3.1,0,3,1
205,87,29,1,0,0,15,0,8,6,2,5,1,5,0,0,2.76,0,3,1
206,87,57,3,0,0,15,0,8,4,2,5,1,5,0,0,2.4,0,3,1
208,79,4,1,0,0,15,0,11,1,2,5,1,2,1,0,2.9,0,1,0
209,79,25,2,1,1,15,1,11,6,2,25,0,5,0,0,3.81,0,3,1
212,79,49,2,0,0,16,0,11,6,2,5,1,5,0,0,3.27,0,3,1
213,79,49,2,0,1,16,1,11,6,2,16,1,5,0,0,3.88,0,3,1
214,79,57,3,0,0,15,0,11,1,2,3,1,5,0,1,2.65,1,3,1
219,87,57,3,0,0,15,0,11,1,2,25,0,5,0,0,2.67,1,0,0
220,87,29,1,0,0,15,0,11,6,2,12,1,5,0,1,3.95,0,3,1
227,87,50,2,0,0,15,1,11,6,2,25,0,5,0,0,3.81,0,3,1
229,87,59,0,0,0,15,0,11,6,2,9,1,5,0,1,3.65,0,3,1
233,87,4,1,0,0,14,1,14,6,2,25,0,5,0,0,3.17,0,3,1
235,79,33,2,0,1,13,1,14,6,2,23,1,5,0,0,4,0,3,1
239,79,24,2,0,1,15,1,14,6,2,25,0,5,0,1,4,0,3,1
241,87,24,2,0,0,16,1,14,6,2,25,0,5,0,0,3.38,0,3,1
242,87,33,2,0,0,16,1,14,6,2,23,1,5,0,0,3.65,1,3,1
243,87,33,2,0,0,16,1,14,6,2,25,0,5,0,1,3.35,1,3,1
244,87,3,1,0,0,15,1,14,6,2,25,0,5,0,0,3.35,0,0,0
245,87,49,2,0,0,16,0,14,3,2,25,0,5,0,1,3.15,1,0,0
246,87,24,2,0,0,15,1,14,6,2,25,0,5,0,1,4,0,3,1
247,87,0,3,0,0,16,0,14,6,2,25,0,5,0,1,3.15,1,0,0
248,87,52,1,0,0,13,1,14,6,2,25,0,5,0,1,2.85,1,0,0
259,79,49,2,0,0,13,1,8,6,2,20,1,5,0,0,3.95,0,3,1
263,87,44,2,0,0,12,1,12,6,2,25,0,5,0,0,3.82,0,0,0
264,87,4,1,0,0,15,1,8,6,2,25,0,5,0,0,3.97,0,3,1
266,87,8,3,0,0,15,0,8,6,2,3,1,5,0,1,3.67,1,3,1
267,87,31,2,0,0,16,0,8,6,2,5,1,5,0,0,3.76,0,3,1
270,87,49,2,0,0,16,1,14,6,2,15,1,4,1,1,3.93,0,3,1
275,79,17,3,0,0,15,0,12,6,2,9,1,5,0,1,3,0,3,1
278,79,59,0,0,0,15,0,17,1,2,5,1,5,0,1,2.5,1,3,1
281,79,49,2,0,0,16,1,14,6,2,20,1,5,0,0,3.17,0,3,1
282,79,16,3,0,0,16,0,14,6,2,2,1,5,0,0,3.3,0,1,0
283,79,59,0,0,0,15,0,14,6,0,25,0,5,0,0,2.85,0,0,0
284,79,33,2,0,0,16,1,14,6,2,24,1,5,0,0,4,0,3,1
285,79,40,1,0,0,15,0,14,6,0,25,0,5,0,0,2.69,0,0,0
289,87,13,3,0,0,15,0,14,6,2,3,1,5,0,0,3.49,0,3,1
290,87,41,1,0,0,15,0,14,6,2,5,1,5,0,0,3,0,3,1
291,87,57,3,0,0,15,0,14,6,2,5,1,5,0,1,3.15,1,3,1
304,87,24,2,0,0,16,1,14,6,2,25,0,5,0,0,3.88,0,3,1
306,79,4,1,0,0,14,1,14,6,2,25,0,5,0,1,3.65,1,3,1
308,87,6,1,0,0,15,1,14,2,0,25,0,5,0,1,3.9,1,3,1
310,79,50,2,0,0,12,1,14,6,2,25,0,5,0,1,3.875,0,3,1
313,79,50,2,0,0,14,1,14,6,0,25,0,5,0,1,3.65,0,3,1
314,87,50,2,0,0,15,1,14,6,2,25,0,5,0,0,3.75,1,3,1
315,79,25,2,1,0,15,1,14,6,2,25,0,5,0,1,3.65,0,3,1
318,79,16,3,0,0,16,1,14,6,2,0,1,5,0,0,4,0,3,1
319,79,44,2,0,0,15,1,14,6,0,25,0,5,0,1,3.45,0,3,1
320,79,44,2,0,1,15,1,14,6,2,25,0,5,0,1,3.95,1,3,1
326,87,33,2,0,0,16,1,14,6,2,25,0,5,0,0,3.65,0,3,1
327,87,52,1,0,0,15,1,14,6,0,25,0,5,0,0,3.88,1,3,1
329,87,52,1,0,0,15,1,14,6,2,25,0,5,0,0,3.88,0,3,1
330,87,35,3,0,0,16,1,14,6,2,25,0,5,0,1,3.98,1,0,0
331,87,49,2,0,0,16,0,14,0,2,11,1,5,0,0,3.5,0,3,1
332,87,34,3,0,0,15,1,14,6,2,16,1,5,0,0,3.15,1,0,0
333,87,44,2,0,0,15,1,14,6,2,25,0,5,0,1,3.88,1,3,1
349,79,33,2,0,0,16,1,14,6,2,25,0,5,0,1,3.67,1,0,0
350,87,4,1,0,0,15,1,14,6,2,25,0,5,0,0,4,0,3,1
352,79,8,3,0,0,15,0,14,6,2,25,0,5,0,1,3.35,0,3,1
359,87,4,1,0,0,14,0,14,6,2,25,0,5,0,0,4,0,0,0
360,79,13,3,0,0,15,0,14,2,2,25,0,5,0,0,3.15,0,0,0
362,87,0,3,0,0,15,0,14,6,2,25,0,5,0,1,3.65,0,0,0
363,87,24,2,0,0,16,1,14,6,2,25,0,5,0,1,3.65,0,3,1
